dish,cost_per_serving,calories,carbohydrates,protein,fat,sodium,fiber,opt_servings_sum,opt_servings_0,opt_servings_1,opt_servings_2,opt_servings_3,opt_servings_4,opt_servings_5,opt_servings_6
heat and eat oatmeal,0.36,254.16,43.72,6.32,7.18,241.86,5.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
garlic marinated chicken,0.84,331.5,2.28,38.35,11.3,432.18,0.4,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
flour tortillas,0.08,223.88,31.95,4.71,8.59,222.1,2.05,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
cinnamon raisin bread,0.1,157.7,33.72,4.91,0.77,248.32,2.45,2.982828802826822,2.982828802826822,0.0,0.0,0.0,0.0,0.0,0.0
funky monkey baked oatmeal,0.49,430.22,60.82,13.63,17.43,335.85,7.25,2.9805928913376576,0.0,2.9805928913376576,0.0,0.0,0.0,0.0,0.0
coconut lentils,0.76,315.92,48.8,18.0,6.2,202.07,8.17,2.7570538015175137,0.0,0.0,0.0,0.0,2.7570538015175137,0.0,0.0
no-knead ciabatta,0.11,263.0,51.0,7.0,3.0,441.0,2.0,2.711741968416319,0.0,0.0,0.0,0.0,0.0,2.711741968416319,0.0
chicken enchilada pasta,0.91,511.8,48.25,28.82,22.17,400.05,2.57,2.6861762407190306,0.0,0.0,2.6861762407190306,0.0,0.0,0.0,0.0
brown sugar roasted pork loin,1.14,475.06,7.31,48.15,24.06,465.2,0.2,2.644048386571322,0.0,0.0,0.0,0.0,0.0,2.644048386571322,0.0
oatmeal molasses bread,0.21,301.15,61.58,8.17,2.87,411.98,4.14,2.6401752378806513,0.0,0.0,0.0,0.0,0.0,0.0,2.6401752378806513
slow cooker 5 spice pulled pork,0.87,410.23,8.21,48.75,18.86,437.96,0.08,2.610605732622333,0.0,0.0,0.0,2.610605732622333,0.0,0.0,0.0
chocolate coconut granola,0.38,384.2,54.55,8.08,18.13,153.95,7.45,2.3028192058288153,2.3028192058288153,0.0,0.0,0.0,0.0,0.0,0.0
balsamic chicken thighs,1.04,431.1,10.35,61.78,13.93,409.13,0.13,2.2005103819200955,2.2005103819200955,0.0,0.0,0.0,0.0,0.0,0.0
super crunchy oil free granola,0.27,160.19,20.67,6.5,7.07,23.43,3.74,2.088683582820205,0.0,0.0,0.0,0.0,0.0,0.0,2.088683582820205
seeded no-knead bread,0.17,209.58,61.28,12.28,6.58,493.8,8.33,2.0261619480417123,0.0,0.0,0.0,2.0261619480417123,0.0,0.0,0.0
honey balsamic chicken tenders,1.25,452.48,16.18,67.45,29.2,805.6,0.05,1.5632769692021464,0.0,0.0,0.0,0.0,1.5632769692021464,0.0,0.0
thai peanut chicken,1.29,720.4,15.68,86.2,35.23,876.68,3.9,1.5551429816494633,0.0,0.0,0.0,0.0,0.0,0.0,1.5551429816494633
pumpkin spice granola,0.64,523.83,83.64,11.84,17.9,179.2,9.14,1.4401775179652905,0.0,0.0,0.0,1.4401775179652905,0.0,0.0,0.0
vegetarian 15 bean soup,0.71,296.0,50.0,17.0,4.0,55.0,16.0,1.347463318098627,0.0,0.0,0.0,0.0,0.0,1.347463318098627,0.0
tuna and red pepper pasta,0.69,345.72,57.67,14.77,5.95,204.42,2.68,0.9156749418461563,0.0,0.9156749418461563,0.0,0.0,0.0,0.0,0.0
loaded guacamole,0.82,225.47,15.72,157.28,17.32,305.82,7.18,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
